date,nav,returns
2020-03-04,1000000.0,
2020-03-05,1000000.0,0.0
2020-03-06,1000000.0,0.0
2020-03-07,1000000.0,0.0
2020-03-08,1000000.0,0.0
2020-03-09,1000000.0,0.0
2020-03-10,1000000.0,0.0
2020-03-11,1000000.0,0.0
2020-03-12,1000000.0,0.0
2020-03-13,1000000.0,0.0
2020-03-14,1000000.0,0.0
2020-03-15,1000000.0,0.0
2020-03-16,1000000.0,0.0
2020-03-17,1000000.0,0.0
2020-03-18,1000000.0,0.0
2020-03-19,1000000.0,0.0
2020-03-20,1000000.0,0.0
2020-03-21,1000000.0,0.0
2020-03-22,1000000.0,0.0
2020-03-23,1000000.0,0.0
2020-03-24,1000000.0,0.0
2020-03-25,1000000.0,0.0
2020-03-26,1000000.0,0.0
2020-03-27,1000000.0,0.0
2020-03-28,1000000.0,0.0
2020-03-29,999261.4433178646,-0.000738556682135405
2020-03-30,1041245.9461290219,0.042015533664298665
2020-03-31,1056560.0530442304,0.014707482869096289
2020-04-01,1061585.249898108,0.004756186682809638
2020-04-02,1069401.349998873,0.007362668331643896
2020-04-03,1076326.5891205417,0.006475809219500306
2020-04-04,1088195.342474365,0.01102709296025206
2020-04-05,1079423.1681952013,-0.008061212851010024
2020-04-06,1122157.2109933654,0.03958970314637167
2020-04-07,1123290.2664886813,0.001009711905084032
2020-04-08,1140023.6581354635,0.014896765463026318
2020-04-09,1188701.015572722,0.04269855023611657
2020-04-10,1093014.0500649419,-0.0804970840053314
2020-04-11,1104752.2236179772,0.010739270508314025
2020-04-12,1112758.9756365558,0.007247554562376912
2020-04-13,1096409.0911756784,-0.014693104992951733
2020-04-14,1093857.0441019733,-0.002327641292146354
2020-04-15,1048566.6352637144,-0.041404321599849525
2020-04-16,1082603.4906351243,0.03246036467949387
2020-04-17,1077042.6406253297,-0.005136552817257445
2020-04-18,1113610.4418081346,0.03395204591117551
2020-04-19,1103780.592124773,-0.008827009261336616
2020-04-20,1055414.8187446652,-0.04381828574010693
2020-04-21,1061474.5731507787,0.005741585487041956
2020-04-22,1102143.6247368392,0.03831373130808258
2020-04-23,1113651.3671789013,0.010441236680754695
2020-04-24,1146001.6796074137,0.029048868777005188
2020-04-25,1200033.663034319,0.0471482584959344
2020-04-26,1273823.9733257906,0.06149020028729102
2020-04-27,1311366.5362077267,0.029472331866951196
2020-04-28,1313485.3419962989,0.0016157235449207885
2020-04-29,1385270.2364034313,0.05465222344851628
2020-04-30,1337692.796495413,-0.034345240847405645
2020-05-01,1400303.053236424,0.04680466016191609
2020-05-02,1418089.7227016343,0.012702014341896328
2020-05-03,1361150.0526370294,-0.04015237481315903
2020-05-04,1332783.666754022,-0.020840013801602275
2020-05-05,1333411.9393108187,0.0004713987517019902
2020-05-06,1271084.1094006125,-0.04674311671636944
2020-05-07,1296722.111915854,0.020170185690804754
2020-05-08,1290296.7880233661,-0.0049550507648818964
2020-05-09,1273130.9368325504,-0.013303800606302651
2020-05-10,1205552.4151184317,-0.0530805746361398
2020-05-11,1265790.7006462207,0.04996737161517051
2020-05-12,1282195.1368147698,0.012959833059426273
2020-05-13,1382007.0415171317,0.07784455098645493
2020-05-14,1507151.5620869182,0.09055273729459867
2020-05-15,1465397.7157731373,-0.02770381384601117
2020-05-16,1412821.9327294733,-0.03587816636927488
2020-05-17,1378438.2359936608,-0.024336893375788482
2020-05-18,1405625.2632176818,0.019723065215484947
2020-05-19,1434485.1817185897,0.020531730082058663
2020-05-20,1452351.6713796798,0.012454983773122708
2020-05-21,1373641.515762491,-0.05419497024602671
2020-05-22,1430956.168354316,0.041724607136681024
2020-05-23,1454733.0277196658,0.01661606406343985
2020-05-24,1436723.8810043733,-0.012379691924312985
2020-05-25,1490965.4605304815,0.037753656247566214
2020-05-26,1595696.2902662582,0.07024363240347209
2020-05-27,1407540.4922062447,-0.11791454251524125
2020-05-28,1398106.4980499414,-0.006702467324059769
2020-05-29,1439917.8773592096,0.029905718461065822
2020-05-30,1400773.4565776056,-0.027185175902805225
2020-05-31,1271096.1068775149,-0.09257553324641132
2020-06-01,1349487.44390597,0.06167223438440539
2020-06-02,1311448.1044951107,-0.028187990620170522
2020-06-03,1343804.4203205726,0.024672204500168604
2020-06-04,1350702.5500389864,0.0051332839914071116
2020-06-05,1340546.1229236391,-0.007519366210609446
2020-06-06,1341389.6714276865,0.0006292573523749567
2020-06-07,1343679.5681965798,0.0017071077984789351
2020-06-08,1353536.0672398568,0.0073354535386036535
2020-06-09,1336254.3687002293,-0.012767815323065923
2020-06-10,1348512.6073490635,0.00917358171914362
2020-06-11,1226662.0535245903,-0.09035922479361147
2020-06-12,1263948.8265507028,0.030396940150692497
2020-06-13,1280147.3442791447,0.012815801864896281
2020-06-14,1242979.1240828563,-0.029034329807728354
2020-06-15,1262009.9607047958,0.015310664719314193
2020-06-16,1289479.2502163176,0.021766301667049515
2020-06-17,1280623.9403095823,-0.006867353550086053
2020-06-18,1315753.2724934106,0.027431419230953935
2020-06-19,1321653.8699031146,0.004484577415127422
2020-06-20,1328291.184055468,0.005021976103955161
2020-06-21,1314136.9666949557,-0.01065595972510891
2020-06-22,1364358.1285378719,0.03821607877694966
2020-06-23,1381363.2213240676,0.012463804356426023
2020-06-24,1343310.5426053903,-0.0275471926074613
2020-06-25,1336248.9137756152,-0.0052568848421891134
2020-06-26,1308541.7802276355,-0.020735009220469447
2020-06-27,1233270.5529871,-0.057522983505686076
2020-06-28,1258841.530472053,0.020734280424532514
2020-06-29,1274031.3682859428,0.01206652104033612
2020-06-30,1269087.0595219992,-0.0038808375421678365
2020-07-01,1314189.0426954324,0.035538919757341914
2020-07-02,1299898.459912479,-0.010874069345185866
2020-07-03,1311158.477080596,0.008662228255024607
2020-07-04,1358207.0045298939,0.035883173751853015
2020-07-05,1366099.5515309195,0.005811004489523652
2020-07-06,1452054.4928220103,0.06291996889594564
2020-07-07,1484896.3584769107,0.022617515952224165
2020-07-08,1577289.6542489696,0.06222205020882976
2020-07-09,1554482.5308989056,-0.014459692478566155
2020-07-10,1572985.1055133822,0.011902722768957208
2020-07-11,1591598.7631351713,0.011833333676553703
2020-07-12,1649577.715479256,0.036428121010773085
2020-07-13,1620477.425802521,-0.017641054073211926
2020-07-14,1634252.6774810844,0.00850073654789818
2020-07-15,1626654.0207169822,-0.004649621731575904
2020-07-16,1591720.314951377,-0.021475805746453358
2020-07-17,1602200.8665889457,0.006584417839693657
2020-07-18,1617354.1253097423,0.009457777134434853
2020-07-19,1629182.9813420658,0.007313708140484154
2020-07-20,1568961.9323924882,-0.03696395655936058
2020-07-21,1612220.2966394867,0.027571328120775007
2020-07-22,1642268.0462478637,0.018637496172829726
2020-07-23,1660783.4004300672,0.011274258318857422
2020-07-24,1635874.733228145,-0.014998143162721966
2020-07-25,1705734.6436504056,0.042704926607921134
2020-07-26,1701109.3716864442,-0.0027116011163746956
2020-07-27,1802338.703424389,0.05950783260783998
2020-07-28,1851184.0351677795,0.027101083525857828
2020-07-29,1860028.1957242736,0.004777569592475661
2020-07-30,1882920.255872584,0.01230737265216364
2020-07-31,1935387.183060974,0.027864657053187747
2020-08-01,2058077.6229792247,0.06339322745963716
2020-08-02,1916529.7191154426,-0.06877675666036376
2020-08-03,2001191.7386742628,0.04417464478343458
2020-08-04,2075976.8835113617,0.03737030459991919
2020-08-05,2083152.4835148486,0.003456493210728828
2020-08-06,2104818.309958794,0.010400499538751662
2020-08-07,2055119.9316669684,-0.023611718910217294
2020-08-08,2224682.8035219316,0.08250753118696386
2020-08-09,2318094.8528812397,0.041988929483082194
2020-08-10,2382120.2899412345,0.027619852130043476
2020-08-11,2242045.7863289467,-0.05880244763615328
2020-08-12,2400533.141027289,0.0706887235152518
2020-08-13,2546964.105914433,0.060999351512589506
2020-08-14,2609284.5051415786,0.024468503141614084
2020-08-15,2661837.612005915,0.020140811307000295
2020-08-16,2697970.713744214,0.013574495144002885
2020-08-17,2719861.710042157,0.008113874693459255
2020-08-18,2655760.057412244,-0.023567982296026302
2020-08-19,2552510.517241766,-0.03887758605387093
2020-08-20,2629516.156314585,0.03016858835748537
2020-08-21,2485240.5962766535,-0.054867721459502916
2020-08-22,2552424.626207277,0.027033209593983587
2020-08-23,2609136.7778839185,0.022218932968419036
2020-08-24,2650424.5832070494,0.01582431617732838
2020-08-25,2515101.2698870036,-0.051057220860931896
